"url";"reach_rank";"delta";"country";"country_rank";"populartity"
"http://www.carpoolplein.nl/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.carpooling.com";"8947305";"+9721304";"N/A";"N/A";"10102574"
"http://www.carpoolingnetwork.com";"3564222";"+756981";"N/A";"N/A";"3405550"
"http://www.carpoolworld.com/";"190196";"-26830";"72992";"United States";"190616"
"http://www.collaborativeconsumption.com/directoryitem/carrot-mexico/www.carrot.mx";"306204";"+84369";"201147";"United States";"329791"
"http://www.carsharevt.org/";"7707357";"+2256760";"N/A";"N/A";"7240841"
"http://carsharehfx.ca/#";"6232525";"+1507231";"N/A";"N/A";"6260679"
"http://www.carsharevt.org/";"7707357";"+2256760";"N/A";"N/A";"7240841"
"http://www.carzapp.net/";"3738616";"+356866";"N/A";"N/A";"3622045"
"http://www.casaversa.com/";"12338373";"+9153964";"N/A";"N/A";"13391376"
"http://www.casseroleclub.com/";"5289913";"+2915100";"N/A";"N/A";"5306299"
"http://catarse.me/en";"37826";"-8442";"1109";"Brazil";"40565"
"http://www.catchalift.com/";"5510024";"+2041247";"N/A";"N/A";"5952634"
"http://www.centralworking.com/";"658080";"-613320";"56225";"United Kingdom";"762499"
"http://www.chancexchange.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.chaoscooking.com";"18211666";"+11970413";"N/A";"N/A";"17201601"
"http://www.chefspotting.com.au/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.chegg.com/";"2617";"-1032";"561";"United States";"2584"
"http://www.collaborativeconsumption.com/directoryitem/chicy-little-monkeys/www.chicylittlemonkeys.com";"306204";"+84369";"201147";"United States";"329791"
"http://ctf.vishwa.com/ctf.html";"9958539";"N/A";"N/A";"N/A";"11257956"
"http://www.chouxfleursetpissenlits.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.ciluna.de/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.collaborativeconsumption.com/directoryitem/cinese/www.cinese.me";"306204";"+84369";"201147";"United States";"329791"
"https://circleup.com/";"108586";"-5043";"26159";"United States";"99385"
"http://circul-livre.blogspirit.com/";"6567259";"-487968";"N/A";"N/A";"5731803"
"http://citibikenyc.com/";"91585";"-22130";"16528";"United States";"89391"
"http://renu.citizenre.com/index.ph";"15184511";"-2942861";"N/A";"N/A";"16163134"
"http://citizenspace.us/";"1678373";"+54112";"462027";"United States";"1704496"
"http://www.citizinvestor.com/";"1072466";"-3838825";"N/A";"N/A";"1076478"
"http://www.citycarclub.net/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.citycarshare.org";"500825";"-43256";"88744";"United States";"470804"
"http://cityfruit.org/";"1698962";"-1755773";"N/A";"N/A";"1760381"
"http://www.citybikewien.at/";"791961";"-116036";"15465";"Austria";"864373"
"http://www.citycarclub.co.uk";"426158";"+64416";"15710";"United Kingdom";"399109"
"http://www.cityhop.co.nz";"7852530";"+1614099";"N/A";"N/A";"7510044"
"http://www.CityWheelsCleveland.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"https://fr.cityzencar.com/";"6412366";"+1666600";"N/A";"N/A";"6438592"
"http://www.classiccarclub.co.uk/";"3770819";"+1272575";"N/A";"N/A";"3328328"
"http://www.classiccarshare.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://cleaningexec.com";"3818453";"-4563565";"N/A";"N/A";"3568819"
"http://www.clickshipit.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.closestcloset.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://clothingexchange.com.au/";"8323567";"+6752234";"N/A";"N/A";"8101239"
"http://www.clothingswap.org/";"N/A";"N/A";"N/A";"N/A";"N/A"
"https://clouditems.com/beta/mycloud/login/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.club-office.com/en/";"2449531";"-4931629";"N/A";"N/A";"3049505"
"http://www.clubsportiva.com/";"1497595";"+348555";"384546";"United States";"1506443"
"http://www.co-recyclage.com/";"934167";"+472487";"68190";"France";"964238"
"http://www.co-transport.com/";"2957081";"-696431";"N/A";"N/A";"3070868"
"http://co-up.de/";"1355205";"-503271";"N/A";"N/A";"1463440"
"http://co-up.com/share/";"3226890";"+1073390";"N/A";"N/A";"3209077"
"http://coab.fr";"12452079";"+5677634";"N/A";"N/A";"10553069"
"http://www.coabode.com/";"7314851";"+3757154";"995823";"United States";"8313176"
"http://mycofolio.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://coint.com";"N/A";"N/A";"N/A";"N/A";"N/A"
