"name";"url";"year";"location";"invest";"description"
"CameraLends";"https://www.cameralends.com/";"N/A";"N/A";"N/A";"N/A"
"CampInMyGarden";"http://campinmygarden.com/";"2010";"London";"No";"N/A"
"CampInMyGarden";"http://campinmygarden.com/";"2011";"London";"N/A";"N/A"
"Campus Book Rental";"http://www.campusbookrentals.com/";"2007";"Ogden";"No";"N/A"
"Campus Wall";"http://mycampuswall.com/";"N/A";"Seattle";"N/A";"N/A"
"Canhav";"https://www.canhav.com/nl/";"2013";"N/A";"N/A";"Canhav is the open marketplace for barter deals. The place to buy products and services without spending money."
"cantine nantes";"http://cantine-nantes.org/index.php";"N/A";"Nantes";"N/A";"N/A"
"Canubring";"http://www.canubring.com/";"2012";"N/A";"N/A";"Is a website that connects a person who needs something of some place of the world with another person who can bring it. So both have a profit, the sender saves paying less than any conventional method and the carrier take advantage of the free space of his luggage."
"Capassety";"http://www.collaborativeconsumption.com/directoryitem/capassety/www.capassety.com";"2014";"London";"Self-financed";"Capassety is a customisable marketing software platform that enables people to generate revenue by leasing underutilised assets to those who need short-term access to them."
"Capool Arabia";"http://www.carpoolarabia.com/";"2014";"Dubai";"N/A";"N/A"
"Car 2gether";"http://www.car2gether.com/";"2010";"Stadtbergen Augsburg";"No?";"N/A"
"Car Next Door";"http://www.carnextdoor.com.au/";"N/A";"Sydney";"N/A";"Car Next Door is fundamentally changing the way Australia travels by turning any car into a share car. We let Car Owners earn $2-10k per year sharing their car when they aren’t using it whilst allowing Car Borrowers to instantly rent cars nearby from $5 p/h and $25 p/d."
"Car share inventory";"http://ecoplan.org/carshare/general/inventory.htm";"1997";"Paris";"No";"N/A"
"Car To Go";"http://www.cartogo.com/";"N/A";"Aspen";"N/A";"N/A"
"Car2Go Ulm";"https://www.car2go.com";"2010";"N/A";"N/A";"N/A"
